tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
MA1	Adirondacks	MA1-1:MA1-2:MA1-3:MA1-4:MA1-5:MA1-6:MA1-7:MA1-8:MA1-9	MA1-1a:MA1-2a:MA1-3a:MA1-4a:MA1-5a:MA1-6a:MA1-7a:MA1-8a:MA1-9a	    8.2 	mt	  314.9 	  -36.7 	    41 	9.0	9 	9 	0 	t	8.8030 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.6 	    5.6 	   13.4 	  148.9 
MA10	Adirondacks	MA10-2:MA10-7:MA10-8	MA10-2a:MA10-7a:MA10-8a	   41.7 	mlt	   79.8 	   59.7 	    10 	3.0	3 	3 	0 	t	2.7957 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   62.8 	   47.3 	   33.3 	  349.4 
MA10	Adirondacks	MA10-7	MA10-7a		lt	348.0	64.9		1.0	1	1	0	n		100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  290.1 	  233.8 	   81.2 	  218.3 
MA10	Adirondacks	MA10-2:MA10-7:MA10-8	MA10-2a:MA10-7a:MA10-8a	   51.0 	ht	   93.4 	   39.7 	     7 	3.0	3 	3 	0 	t	2.7105 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   61.2 	   36.7 	   13.1 	  357.1 
MA10	Adirondacks	MA10-1:MA10-2:MA10-3:MA10-4:MA10-5:MA10-6:MA10-7:MA10-8	MA10-1a:MA10-2a:MA10-3a:MA10-4a:MA10-5a:MA10-6a:MA10-7a:MA10-8a	   61.6 	mt	  110.4 	   -5.4 	     2 	8.0	8 	8 	0 	t	4.0363 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   61.8 	   31.0 	  -16.4 	    3.4 
MA10	Adirondacks	MA10-2:MA10-7:MA10-8	MA10-2a:MA10-7a:MA10-8a	   41.7 	mlt	   79.8 	   59.7 	    10 	3.0	3 	3 	0 	t	2.7957 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   62.8 	   47.3 	   33.3 	  349.4 
MA10	Adirondacks	MA10-7	MA10-7a		lt	348.0	64.9		1.0	1	1	0	n		0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  290.1 	  233.8 	   81.2 	  218.3 
MA10	Adirondacks	MA10-2:MA10-7:MA10-8	MA10-2a:MA10-7a:MA10-8a	   51.0 	ht	   93.4 	   39.7 	     7 	3.0	3 	3 	0 	t	2.7105 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   61.2 	   36.7 	   13.1 	  357.1 
MA10	Adirondacks	MA10-1:MA10-2:MA10-3:MA10-4:MA10-5:MA10-6:MA10-7:MA10-8	MA10-1a:MA10-2a:MA10-3a:MA10-4a:MA10-5a:MA10-6a:MA10-7a:MA10-8a	   61.6 	mt	  110.4 	   -5.4 	     2 	8.0	8 	8 	0 	t	4.0363 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   61.8 	   31.0 	  -16.4 	    3.4 
MA11	Adirondacks	MA11-3:MA11-4:MA11-5:MA11-6:MA11-7:MA11-8:MA11-9	MA11-3a:MA11-4a:MA11-5a:MA11-6a:MA11-7a:MA11-8a:MA11-9a	    9.2 	ht	  305.9 	  -61.1 	    44 	7.0	7 	7 	0 	t	6.8627 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	   14.1 	   10.8 	   -8.9 	  143.3 
