tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
MA17	Adirondacks	MA17-10:MA17-11:MA17-1:MA17-2:MA17-3:MA17-5:MA17-6:MA17-7:MA17-8:MA17-9	MA17-10a:MA17-11a:MA17-1a:MA17-2a:MA17-3a:MA17-5a:MA17-6a:MA17-7a:MA17-8a:MA17-9a	    7.2 	lt	    3.1 	   67.0 	    46 	10.0	10 	10 	0 	n	9.8054 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   11.9 	    9.9 	   84.0 	  305.6 
MA2	Adirondacks	MA2-1:MA2-2:MA2-3:MA2-4:MA2-5:MA2-6:MA2-7:MA2-8:MA2-9	MA2-1a:MA2-2a:MA2-3a:MA2-4a:MA2-5a:MA2-6a:MA2-7a:MA2-8a:MA2-9a	   11.3 	ht	   94.4 	   32.7 	    22 	9.0	9 	9 	0 	t	8.6312 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	   12.8 	    7.2 	    9.2 	    0.0 
MA2	Adirondacks	MA2-1:MA2-2:MA2-3:MA2-4:MA2-7:MA2-8	MA2-1a:MA2-2a:MA2-3a:MA2-4a:MA2-7a:MA2-8a	   10.3 	lt	  344.5 	   49.3 	    43 	6.0	6 	6 	0 	n	5.8842 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   13.7 	    9.1 	   71.4 	  152.5 
MA2	Adirondacks	MA2-1:MA2-2:MA2-3:MA2-4:MA2-5:MA2-6:MA2-7:MA2-8:MA2-9	MA2-1a:MA2-2a:MA2-3a:MA2-4a:MA2-5a:MA2-6a:MA2-7a:MA2-8a:MA2-9a	   10.6 	mt	  100.0 	   42.0 	    24 	9.0	9 	9 	0 	t	8.6723 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   13.0 	    8.0 	    9.9 	  351.6 
MA2	Adirondacks	MA2-1:MA2-2:MA2-3:MA2-4:MA2-5:MA2-6:MA2-7:MA2-8:MA2-9	MA2-1a:MA2-2a:MA2-3a:MA2-4a:MA2-5a:MA2-6a:MA2-7a:MA2-8a:MA2-9a	   11.3 	ht	   94.4 	   32.7 	    22 	9.0	9 	9 	0 	t	8.6312 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	   12.8 	    7.2 	    9.2 	    0.0 
MA2	Adirondacks	MA2-1:MA2-2:MA2-3:MA2-4:MA2-7:MA2-8	MA2-1a:MA2-2a:MA2-3a:MA2-4a:MA2-7a:MA2-8a	   10.3 	lt	  344.5 	   49.3 	    43 	6.0	6 	6 	0 	n	5.8842 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   13.7 	    9.1 	   71.4 	  152.5 
MA2	Adirondacks	MA2-1:MA2-2:MA2-3:MA2-4:MA2-5:MA2-6:MA2-7:MA2-8:MA2-9	MA2-1a:MA2-2a:MA2-3a:MA2-4a:MA2-5a:MA2-6a:MA2-7a:MA2-8a:MA2-9a	   10.6 	mt	  100.0 	   42.0 	    24 	9.0	9 	9 	0 	t	8.6723 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   13.0 	    8.0 	    9.9 	  351.6 
MA3	Adirondacks	MA3-1:MA3-2:MA3-3:MA3-4:MA3-5:MA3-6:MA3-7:MA3-8	MA3-1a:MA3-2a:MA3-3a:MA3-4a:MA3-5a:MA3-6a:MA3-7a:MA3-8a	    5.8 	ht	   99.8 	   30.1 	    93 	8.0	8 	8 	0 	t	7.9246 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.4 	    3.6 	    4.4 	  357.6 
MA3	Adirondacks	MA3-1:MA3-2:MA3-3:MA3-4:MA3-5:MA3-6:MA3-7:MA3-8	MA3-1a:MA3-2a:MA3-3a:MA3-4a:MA3-5a:MA3-6a:MA3-7a:MA3-8a	    3.9 	mt	  263.0 	  -61.6 	   199 	8.0	8 	8 	0 	t	7.9648 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.0 	    4.6 	  -32.5 	  165.6 
MA3	Adirondacks	MA3-1:MA3-2:MA3-3:MA3-4:MA3-5:MA3-6:MA3-7:MA3-8	MA3-1a:MA3-2a:MA3-3a:MA3-4a:MA3-5a:MA3-6a:MA3-7a:MA3-8a	    8.2 	lt	  294.7 	   68.2 	    46 	8.0	8 	8 	0 	n	7.8492 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   13.8 	   11.6 	   47.0 	  229.6 
MA3	Adirondacks	MA3-1:MA3-2:MA3-3:MA3-4:MA3-5:MA3-6:MA3-7:MA3-8	MA3-1a:MA3-2a:MA3-3a:MA3-4a:MA3-5a:MA3-6a:MA3-7a:MA3-8a	    3.9 	mt	  263.0 	  -61.6 	   199 	8.0	8 	8 	0 	t	7.9648 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.0 	    4.6 	  -32.5 	  165.6 
MA3	Adirondacks	MA3-1:MA3-2:MA3-3:MA3-4:MA3-5:MA3-6:MA3-7:MA3-8	MA3-1a:MA3-2a:MA3-3a:MA3-4a:MA3-5a:MA3-6a:MA3-7a:MA3-8a	    5.8 	ht	   99.8 	   30.1 	    93 	8.0	8 	8 	0 	t	7.9246 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.4 	    3.6 	    4.4 	  357.6 
MA3	Adirondacks	MA3-1:MA3-2:MA3-3:MA3-4:MA3-5:MA3-6:MA3-7:MA3-8	MA3-1a:MA3-2a:MA3-3a:MA3-4a:MA3-5a:MA3-6a:MA3-7a:MA3-8a	    8.2 	lt	  294.7 	   68.2 	    46 	8.0	8 	8 	0 	n	7.8492 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   13.8 	   11.6 	   47.0 	  229.6 
MA4	Adirondacks	MA4-10:MA4-11:MA4-1:MA4-2:MA4-3:MA4-4:MA4-5:MA4-6:MA4-7:MA4-8:MA4-9	MA4-10a:MA4-11a:MA4-1a:MA4-2a:MA4-3a:MA4-4a:MA4-5a:MA4-6a:MA4-7a:MA4-8a:MA4-9a	    7.7 	ht	  113.5 	   38.2 	    36 	11.0	11 	11 	0 	t	10.7251 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.1 	    5.4 	   -0.7 	  344.5 
MA4	Adirondacks	MA4-10:MA4-2	MA4-10a:MA4-2a	  180.0 	mt	  168.1 	  -14.5 	     2 	2.0	2 	2 	0 	r	1.4101 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  184.4 	   94.4 	  -51.8 	  305.2 
MA4	Adirondacks	MA4-10:MA4-11:MA4-1:MA4-2:MA4-3:MA4-4:MA4-5:MA4-6:MA4-7:MA4-8:MA4-9	MA4-10a:MA4-11a:MA4-1a:MA4-2a:MA4-3a:MA4-4a:MA4-5a:MA4-6a:MA4-7a:MA4-8a:MA4-9a	    7.7 	ht	  113.5 	   38.2 	    36 	11.0	11 	11 	0 	t	10.7251 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.1 	    5.4 	   -0.7 	  344.5 
MA4	Adirondacks	MA4-10:MA4-2	MA4-10a:MA4-2a	  180.0 	mt	  168.1 	  -14.5 	     2 	2.0	2 	2 	0 	r	1.4101 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  184.4 	   94.4 	  -51.8 	  305.2 
MA5	Adirondacks	MA5-1:MA5-2:MA5-3:MA5-4:MA5-5:MA5-6:MA5-7:MA5-8	MA5-1a:MA5-2a:MA5-3a:MA5-4a:MA5-5a:MA5-6a:MA5-7a:MA5-8a	    2.9 	mt	  267.9 	  -67.9 	   364 	8.0	8 	8 	0 	t	7.9808 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    4.9 	    4.1 	  -33.8 	  155.2 
MA5	Adirondacks	MA5-1:MA5-2:MA5-3:MA5-5:MA5-8	MA5-1a:MA5-2a:MA5-3a:MA5-5a:MA5-8a	   25.7 	ht	   92.0 	   50.8 	    10 	5.0	5 	5 	0 	t	4.5935 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   34.7 	   23.4 	   20.0 	  351.0 
MA5	Adirondacks	MA5-1:MA5-2:MA5-3:MA5-4:MA5-5:MA5-6:MA5-7:MA5-8	MA5-1a:MA5-2a:MA5-3a:MA5-4a:MA5-5a:MA5-6a:MA5-7a:MA5-8a	   16.6 	lt	  230.7 	   20.2 	    12 	8.0	8 	8 	0 	t	7.4197 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   17.4 	    9.1 	  -18.7 	  232.4 
MA5	Adirondacks	MA5-1:MA5-2:MA5-3:MA5-4:MA5-5:MA5-6:MA5-7:MA5-8	MA5-1a:MA5-2a:MA5-3a:MA5-4a:MA5-5a:MA5-6a:MA5-7a:MA5-8a	   16.6 	lt	  230.7 	   20.2 	    12 	8.0	8 	8 	0 	t	7.4197 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   17.4 	    9.1 	  -18.7 	  232.4 
MA5	Adirondacks	MA5-1:MA5-2:MA5-3:MA5-5:MA5-8	MA5-1a:MA5-2a:MA5-3a:MA5-5a:MA5-8a	   25.7 	ht	   92.0 	   50.8 	    10 	5.0	5 	5 	0 	t	4.5935 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   34.7 	   23.4 	   20.0 	  351.0 
MA5	Adirondacks	MA5-1:MA5-2:MA5-3:MA5-4:MA5-5:MA5-6:MA5-7:MA5-8	MA5-1a:MA5-2a:MA5-3a:MA5-4a:MA5-5a:MA5-6a:MA5-7a:MA5-8a	    2.9 	mt	  267.9 	  -67.9 	   364 	8.0	8 	8 	0 	t	7.9808 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.9 	    4.1 	  -33.8 	  155.2 
MA6	Adirondacks															44.1	-74.1										
MA7	Adirondacks	MA7-1:MA7-2:MA7-4	MA7-1a:MA7-2a:MA7-4a	   23.3 	ht	  113.2 	   62.3 	    29 	3.0	3 	3 	0 	t	2.9311 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   36.3 	   28.3 	   16.0 	  329.7 
MA7	Adirondacks	MA7-6:MA7-7:MA7-9	MA7-6a:MA7-7a:MA7-9a	   10.6 	mt	  315.1 	   69.3 	   135 	3.0	3 	3 	0 	n	2.9852 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   18.1 	   15.4 	   59.5 	  228.8 
MA7	Adirondacks	MA7-1:MA7-2:MA7-4	MA7-1a:MA7-2a:MA7-4a	   23.3 	ht	  113.2 	   62.3 	    29 	3.0	3 	3 	0 	t	2.9311 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   36.3 	   28.3 	   16.0 	  329.7 
MA7	Adirondacks	MA7-6:MA7-7:MA7-9	MA7-6a:MA7-7a:MA7-9a	   10.6 	mt	  315.1 	   69.3 	   135 	3.0	3 	3 	0 	n	2.9852 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   18.1 	   15.4 	   59.5 	  228.8 
MA8	Adirondacks	MA8-1:MA8-2:MA8-3:MA8-4:MA8-6:MA8-7:MA8-8	MA8-1a:MA8-2a:MA8-3a:MA8-4a:MA8-6a:MA8-7a:MA8-8a	    5.2 	lt	  347.9 	   71.8 	   134 	7.0	7 	7 	0 	n	6.9554 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.1 	    8.0 	   75.3 	  258.9 
MA8	Adirondacks	MA8-1:MA8-2:MA8-3:MA8-4:MA8-6:MA8-7:MA8-8	MA8-1a:MA8-2a:MA8-3a:MA8-4a:MA8-6a:MA8-7a:MA8-8a	    5.2 	lt	  347.9 	   71.8 	   134 	7.0	7 	7 	0 	n	6.9554 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.1 	    8.0 	   75.3 	  258.9 
MA9	Adirondacks	MA9-10:MA9-3:MA9-4:MA9-5:MA9-8:MA9-9	MA9-10a:MA9-3a:MA9-4a:MA9-5a:MA9-8a:MA9-9a	    5.4 	mt	  295.2 	  -68.0 	   152 	6.0	6 	6 	0 	t	5.9672 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.1 	    7.6 	  -20.4 	  143.3 
MA9	Adirondacks	MA9-10:MA9-3:MA9-4:MA9-5:MA9-8:MA9-9	MA9-10a:MA9-3a:MA9-4a:MA9-5a:MA9-8a:MA9-9a	    5.4 	mt	  295.2 	  -68.0 	   152 	6.0	6 	6 	0 	t	5.9672 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	    9.1 	    7.6 	  -20.4 	  143.3 
