tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon	site_name
TH1	Grenville orogen	TH1-1:TH1-2	TH1-1a:TH1-2a	   36.6 	mt	   12.3 	   32.8 	    49 	2.0	2 	2 	0 	n	1.9795 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   41.4 	   23.5 	   61.1 	   76.8 	TH1
TH1	Grenville orogen	TH1-1:TH1-2:TH1-3:TH1-4	TH1-1a:TH1-2a:TH1-3a:TH1-4a	   17.4 	mmt	   92.8 	   46.3 	    29 	4.0	4 	4 	0 	t	3.8956 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   22.3 	   14.3 	   17.3 	  349.5 	TH1
TH1	Grenville orogen	TH1-1:TH1-2	TH1-1a:TH1-2a	   36.6 	mt	   12.3 	   32.8 	    49 	2.0	2 	2 	0 	n	1.9795 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   41.4 	   23.5 	   61.1 	   76.8 	TH1
TH1	Grenville orogen	TH1-5:TH1-6	TH1-5a:TH1-6a	   38.6 	py	  101.7 	   51.3 	    44 	2.0	2 	2 	0 	t	1.9772 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   52.4 	   35.5 	   14.6 	  340.7 	TH1
TH1	Grenville orogen	TH1-1:TH1-2:TH1-3:TH1-4	TH1-1a:TH1-2a:TH1-3a:TH1-4a	   17.4 	mmt	   92.8 	   46.3 	    29 	4.0	4 	4 	0 	t	3.8956 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   22.3 	   14.3 	   17.3 	  349.5 	TH1
TH1	Grenville orogen	TH1-3	TH1-3a		lt	0.4	68.4		1.0	1	1	0	n		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  303.5 	  255.9 	   83.3 	  283.7 	TH1
TH1	Grenville orogen	TH1-3	TH1-3a		lt	0.4	68.4		1.0	1	1	0	n		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  303.5 	  255.9 	   83.3 	  283.7 	TH1
TH2	Grenville orogen	TH2-1:TH2-2:TH2-3:TH2-4:TH2-5	TH2-1a:TH2-2a:TH2-3a:TH2-4a:TH2-5a	    3.3 	lt	  332.9 	   76.2 	   525 	5.0	5 	5 	0 	n	4.9924 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.1 	    5.6 	   65.7 	  252.4 	TH2
TH2	Grenville orogen	TH2-1:TH2-2:TH2-3:TH2-4:TH2-5:TH2-6	TH2-1a:TH2-2a:TH2-3a:TH2-4a:TH2-5a:TH2-6a	    3.6 	py	   89.9 	   61.8 	   338 	6.0	6 	6 	0 	t	5.9852 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.6 	    4.3 	   28.8 	  338.2 	TH2
TH2	Grenville orogen	TH2-1:TH2-2:TH2-3:TH2-4:TH2-5	TH2-1a:TH2-2a:TH2-3a:TH2-4a:TH2-5a	    3.3 	lt	  332.9 	   76.2 	   525 	5.0	5 	5 	0 	n	4.9924 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.1 	    5.6 	   65.7 	  252.4 	TH2
TH2	Grenville orogen	TH2-1:TH2-2:TH2-3:TH2-4:TH2-5:TH2-6	TH2-1a:TH2-2a:TH2-3a:TH2-4a:TH2-5a:TH2-6a	    3.6 	py	   89.9 	   61.8 	   338 	6.0	6 	6 	0 	t	5.9852 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    5.6 	    4.3 	   28.8 	  338.2 	TH2
TH3	Grenville orogen	TH3-1:TH3-2:TH3-3:TH3-4:TH3-5:TH3-6:TH3-7	TH3-1a:TH3-2a:TH3-3a:TH3-4a:TH3-5a:TH3-6a:TH3-7a	    5.9 	py	  101.5 	   66.8 	   106 	7.0	7 	7 	0 	t	6.9432 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.7 	    8.1 	   26.4 	  327.0 	TH3
TH3	Grenville orogen	TH3-1:TH3-2:TH3-3:TH3-4:TH3-5:TH3-6:TH3-7	TH3-1a:TH3-2a:TH3-3a:TH3-4a:TH3-5a:TH3-6a:TH3-7a	    5.9 	py	  101.5 	   66.8 	   106 	7.0	7 	7 	0 	t	6.9432 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.7 	    8.1 	   26.4 	  327.0 	TH3
TU1	Grenville orogen	TU1-6:TU1-8	TU1-6a:TU1-8a	   33.7 	py	   84.8 	   63.3 	    57 	2.0	2 	2 	0 	t	1.9825 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   53.2 	   42.0 	   32.9 	  338.9 	TU1
TU1	Grenville orogen	TU1-5:TU1-9	TU1-5a:TU1-9a	   24.8 	mt	  284.0 	    2.2 	   104 	2.0	2 	2 	0 	t	1.9903 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   24.8 	   12.4 	   10.7 	  182.4 	TU1
TU1	Grenville orogen	TU1-2:TU1-7:TU1-8:TU1-9	TU1-2a:TU1-7a:TU1-8a:TU1-9a	   26.2 	pdf	  348.6 	   59.1 	    13 	4.0	4 	4 	0 	n	3.7744 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   39.2 	   29.3 	   80.2 	  164.7 	TU1
TU1	Grenville orogen	TU1-6:TU1-8	TU1-6a:TU1-8a	   33.7 	py	   84.8 	   63.3 	    57 	2.0	2 	2 	0 	t	1.9825 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   53.2 	   42.0 	   32.9 	  338.9 	TU1
TU1	Grenville orogen	TU1-10:TU1-1:TU1-2:TU1-3:TU1-4:TU1-5:TU1-9	TU1-10a:TU1-1a:TU1-2a:TU1-3a:TU1-4a:TU1-5a:TU1-9a	    6.9 	mmt	  315.9 	  -49.3 	    78 	7.0	7 	7 	0 	t	6.9232 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.1 	    6.1 	    4.9 	  138.7 	TU1
TU1	Grenville orogen	TU1-10:TU1-1:TU1-2:TU1-3:TU1-4:TU1-5:TU1-9	TU1-10a:TU1-1a:TU1-2a:TU1-3a:TU1-4a:TU1-5a:TU1-9a	    6.9 	mmt	  315.9 	  -49.3 	    78 	7.0	7 	7 	0 	t	6.9232 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.1 	    6.1 	    4.9 	  138.7 	TU1
TU1	Grenville orogen	TU1-5:TU1-9	TU1-5a:TU1-9a	   24.8 	mt	  284.0 	    2.2 	   104 	2.0	2 	2 	0 	t	1.9903 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   24.8 	   12.4 	   10.7 	  182.4 	TU1
TU1	Grenville orogen	TU1-2:TU1-7:TU1-8:TU1-9	TU1-2a:TU1-7a:TU1-8a:TU1-9a	   26.2 	pdf	  348.6 	   59.1 	    13 	4.0	4 	4 	0 	n	3.7744 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   39.2 	   29.3 	   80.2 	  164.7 	TU1
TU2	Grenville orogen	TU2-1:TU2-2:TU2-3	TU2-1a:TU2-2a:TU2-3a	   16.0 	lt	   51.8 	   43.1 	    61 	3.0	3 	3 	0 	n	2.9671 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   19.8 	   12.3 	   44.1 	   19.2 	TU2
TU2	Grenville orogen	TU2-1:TU2-2:TU2-3:TU2-4:TU2-5:TU2-6	TU2-1a:TU2-2a:TU2-3a:TU2-4a:TU2-5a:TU2-6a	    8.2 	mmt	  327.3 	  -35.1 	    68 	6.0	6 	6 	0 	t	5.9262 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.5 	    5.5 	   19.2 	  134.3 	TU2
TU2	Grenville orogen	TU2-1:TU2-2:TU2-3:TU2-4:TU2-5:TU2-6	TU2-1a:TU2-2a:TU2-3a:TU2-4a:TU2-5a:TU2-6a	    8.3 	mt	  334.0 	  -54.2 	    67 	6.0	6 	6 	0 	t	5.9249 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   11.7 	    8.2 	    7.0 	  122.9 	TU2
TU2	Grenville orogen	TU2-1:TU2-2:TU2-3	TU2-1a:TU2-2a:TU2-3a	   16.0 	lt	   51.8 	   43.1 	    61 	3.0	3 	3 	0 	n	2.9671 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   19.8 	   12.3 	   44.1 	   19.2 	TU2
TU2	Grenville orogen	TU2-1:TU2-2:TU2-3:TU2-4:TU2-5:TU2-6	TU2-1a:TU2-2a:TU2-3a:TU2-4a:TU2-5a:TU2-6a	    8.2 	mmt	  327.3 	  -35.1 	    68 	6.0	6 	6 	0 	t	5.9262 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.5 	    5.5 	   19.2 	  134.3 	TU2
TU2	Grenville orogen	TU2-1:TU2-2:TU2-3:TU2-4:TU2-5:TU2-6	TU2-1a:TU2-2a:TU2-3a:TU2-4a:TU2-5a:TU2-6a	    8.3 	mt	  334.0 	  -54.2 	    67 	6.0	6 	6 	0 	t	5.9249 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   11.7 	    8.2 	    7.0 	  122.9 	TU2
TU3	Grenville orogen	TU3-7:TU3-8:TU3-9	TU3-7a:TU3-8a:TU3-9a	    2.7 	py	   95.1 	   60.6 	  2066 	3.0	3 	3 	0 	t	2.9990 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    4.1 	    3.1 	   24.9 	  336.8 	TU3
TU3	Grenville orogen	TU3-1:TU3-2:TU3-4:TU3-5:TU3-6	TU3-1a:TU3-2a:TU3-4a:TU3-5a:TU3-6a	   12.2 	pdf	  350.3 	   54.7 	    40 	5.0	5 	5 	0 	n	4.9005 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   17.2 	   12.2 	   77.8 	  142.3 	TU3
TU3	Grenville orogen	TU3-1:TU3-2:TU3-4:TU3-5:TU3-6	TU3-1a:TU3-2a:TU3-4a:TU3-5a:TU3-6a	   12.2 	pdf	  350.3 	   54.7 	    40 	5.0	5 	5 	0 	n	4.9005 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   17.2 	   12.2 	   77.8 	  142.3 	TU3
TU3	Grenville orogen	TU3-1:TU3-2:TU3-3:TU3-4:TU3-5:TU3-6:TU3-7:TU3-8:TU3-9	TU3-1a:TU3-2a:TU3-3a:TU3-4a:TU3-5a:TU3-6a:TU3-7a:TU3-8a:TU3-9a	   61.5 	mt	  340.2 	  -19.8 	     2 	9.0	9 	9 	0 	t	4.1864 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	   64.3 	   33.6 	   32.1 	  124.8 	TU3
TU3	Grenville orogen	TU3-7:TU3-8:TU3-9	TU3-7a:TU3-8a:TU3-9a	    2.7 	py	   95.1 	   60.6 	  2066 	3.0	3 	3 	0 	t	2.9990 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.1 	    3.1 	   24.9 	  336.8 	TU3
TU3	Grenville orogen	TU3-1:TU3-2:TU3-3:TU3-4:TU3-5:TU3-6:TU3-7:TU3-8:TU3-9	TU3-1a:TU3-2a:TU3-3a:TU3-4a:TU3-5a:TU3-6a:TU3-7a:TU3-8a:TU3-9a	   61.5 	mt	  340.2 	  -19.8 	     2 	9.0	9 	9 	0 	t	4.1864 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	   64.3 	   33.6 	   32.1 	  124.8 	TU3
TU4	Grenville orogen	TU4-1:TU4-2:TU4-3:TU4-4:TU4-5:TU4-6	TU4-1a:TU4-2a:TU4-3a:TU4-4a:TU4-5a:TU4-6a	    5.2 	mt	  319.1 	  -40.5 	   166 	6.0	6 	6 	0 	t	5.9698 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.3 	    3.8 	   12.4 	  139.7 	TU4
TU4	Grenville orogen	TU4-1:TU4-2:TU4-3:TU4-4:TU4-5:TU4-6	TU4-1a:TU4-2a:TU4-3a:TU4-4a:TU4-5a:TU4-6a	   15.9 	pdf	  350.5 	   58.9 	    19 	6.0	6 	6 	0 	n	5.7327 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   23.7 	   17.7 	   81.2 	  158.1 	TU4
TU4	Grenville orogen	TU4-1:TU4-2:TU4-3:TU4-4:TU4-5:TU4-6	TU4-1a:TU4-2a:TU4-3a:TU4-4a:TU4-5a:TU4-6a	    5.2 	mt	  319.1 	  -40.5 	   166 	6.0	6 	6 	0 	t	5.9698 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.3 	    3.8 	   12.4 	  139.7 	TU4
TU4	Grenville orogen	TU4-1:TU4-2:TU4-3:TU4-4:TU4-5:TU4-6	TU4-1a:TU4-2a:TU4-3a:TU4-4a:TU4-5a:TU4-6a	   15.9 	pdf	  350.5 	   58.9 	    19 	6.0	6 	6 	0 	n	5.7327 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   23.7 	   17.7 	   81.2 	  158.1 	TU4
TU5	Grenville orogen	TU5-1:TU5-2:TU5-3:TU5-4:TU5-5:TU5-6	TU5-1a:TU5-2a:TU5-3a:TU5-4a:TU5-5a:TU5-6a	    5.0 	mmt	  314.5 	  -51.1 	   180 	6.0	6 	6 	0 	t	5.9722 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.8 	    4.6 	    2.9 	  139.0 	TU5
TU5	Grenville orogen	TU5-2	TU5-2a		mt	345.5	-72.6		1.0	1	1	0	t		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  319.7 	  283.8 	  -13.5 	  109.5 	TU5
TU5	Grenville orogen	TU5-1:TU5-2:TU5-3:TU5-4:TU5-5:TU5-6	TU5-1a:TU5-2a:TU5-3a:TU5-4a:TU5-5a:TU5-6a	    5.0 	mmt	  314.5 	  -51.1 	   180 	6.0	6 	6 	0 	t	5.9722 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.8 	    4.6 	    2.9 	  139.0 	TU5
TU5	Grenville orogen	TU5-2	TU5-2a		mt	345.5	-72.6		1.0	1	1	0	t		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  319.7 	  283.8 	  -13.5 	  109.5 	TU5
WS1	Grenville orogen															44.9	281.6											WS1
WS2	Grenville orogen	WS2-1:WS2-4:WS2-5	WS2-1a:WS2-4a:WS2-5a	    7.7 	mmt	  344.3 	  -39.9 	   256 	3.0	3 	3 	0 	t	2.9922 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.3 	    5.6 	   20.9 	  117.1 	WS2
WS2	Grenville orogen	WS2-6	WS2-6a		mt	263.6	-54.7		1.0	1	1	0	t		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  254.4 	  179.8 	  -28.1 	  168.6 	WS2
WS2	Grenville orogen	WS2-1:WS2-3:WS2-4	WS2-1a:WS2-3a:WS2-4a	   23.5 	pdf	    4.0 	   35.8 	    29 	3.0	3 	3 	0 	n	2.9302 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   27.3 	   15.8 	   64.7 	   92.8 	WS2
WS2	Grenville orogen	WS2-1:WS2-4:WS2-5	WS2-1a:WS2-4a:WS2-5a	    7.7 	mmt	  344.3 	  -39.9 	   256 	3.0	3 	3 	0 	t	2.9922 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.3 	    5.6 	   20.9 	  117.1 	WS2
WS2	Grenville orogen	WS2-1:WS2-3:WS2-4	WS2-1a:WS2-3a:WS2-4a	   23.5 	pdf	    4.0 	   35.8 	    29 	3.0	3 	3 	0 	n	2.9302 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   27.3 	   15.8 	   64.7 	   92.8 	WS2
WS2	Grenville orogen	WS2-6	WS2-6a		mt	263.6	-54.7		1.0	1	1	0	t		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  254.4 	  179.8 	  -28.1 	  168.6 	WS2
WS3	Grenville orogen	WS3-1:WS3-3:WS3-4	WS3-1a:WS3-3a:WS3-4a	   26.4 	py	  121.0 	   64.4 	    23 	3.0	3 	3 	0 	t	2.9123 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   42.3 	   33.8 	   14.9 	  319.5 	WS3
WS3	Grenville orogen	WS3-6	WS3-6a		pdf	352.3	62.9		1.0	1	1	0	n		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  282.6 	  221.9 	   84.5 	  188.4 	WS3
WS3	Grenville orogen	WS3-2:WS3-5:WS3-6	WS3-2a:WS3-5a:WS3-6a	   49.6 	mt	  126.6 	   12.4 	     7 	3.0	3 	3 	0 	t	2.7242 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   50.5 	   25.7 	  -20.0 	  339.8 	WS3
WS3	Grenville orogen	WS3-1:WS3-3:WS3-4	WS3-1a:WS3-3a:WS3-4a	   26.4 	py	  121.0 	   64.4 	    23 	3.0	3 	3 	0 	t	2.9123 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   42.3 	   33.8 	   14.9 	  319.5 	WS3
WS3	Grenville orogen	WS3-6	WS3-6a		pdf	352.3	62.9		1.0	1	1	0	n		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  282.6 	  221.9 	   84.5 	  188.4 	WS3
WS3	Grenville orogen	WS3-2:WS3-5:WS3-6	WS3-2a:WS3-5a:WS3-6a	   49.6 	mt	  126.6 	   12.4 	     7 	3.0	3 	3 	0 	t	2.7242 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   50.5 	   25.7 	  -20.0 	  339.8 	WS3
WS3	Grenville orogen	WS3-4:WS3-6	WS3-4a:WS3-6a	   11.6 	mmt	  301.2 	  -61.1 	   465 	2.0	2 	2 	0 	t	1.9978 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   17.8 	   13.6 	  -11.6 	  141.9 	WS3
WS3	Grenville orogen	WS3-4:WS3-6	WS3-4a:WS3-6a	   11.6 	mmt	  301.2 	  -61.1 	   465 	2.0	2 	2 	0 	t	1.9978 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   17.8 	   13.6 	  -11.6 	  141.9 	WS3
WS4	Grenville orogen	WS4-1:WS4-2:WS4-3:WS4-5:WS4-6:WS4-7	WS4-1a:WS4-2a:WS4-3a:WS4-5a:WS4-6a:WS4-7a	   13.2 	mmt	  292.9 	  -58.9 	    27 	6.0	6 	6 	0 	t	5.8120 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   19.7 	   14.7 	  -13.8 	  148.5 	WS4
WS4	Grenville orogen	WS4-2:WS4-4	WS4-2a:WS4-4a	   17.2 	mt	  119.5 	   -5.5 	   213 	2.0	2 	2 	0 	t	1.9953 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   17.3 	    8.7 	  -22.5 	  351.8 	WS4
WS4	Grenville orogen	WS4-5	WS4-5a		py	91.7	70.7		1.0	1	1	0	t		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  312.4 	  271.1 	   34.5 	  325.7 	WS4
WS4	Grenville orogen	WS4-1:WS4-2:WS4-3:WS4-5:WS4-6:WS4-7	WS4-1a:WS4-2a:WS4-3a:WS4-5a:WS4-6a:WS4-7a	   13.2 	mmt	  292.9 	  -58.9 	    27 	6.0	6 	6 	0 	t	5.8120 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   19.7 	   14.7 	  -13.8 	  148.5 	WS4
WS4	Grenville orogen	WS4-2:WS4-4	WS4-2a:WS4-4a	   17.2 	mt	  119.5 	   -5.5 	   213 	2.0	2 	2 	0 	t	1.9953 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   17.3 	    8.7 	  -22.5 	  351.8 	WS4
WS4	Grenville orogen	WS4-5	WS4-5a		py	91.7	70.7		1.0	1	1	0	t		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  312.4 	  271.1 	   34.5 	  325.7 	WS4
