tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
HH4-1a	HH4-1a_LP-DIR-T	HH4-1		py	76.8	-6.7	1	6	100	5.8	4.5	613	523	K		hargrave 2023-11-25 09:11:51	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-1a	HH4-1a_LP-DIR-T	HH4-1		py	76.8	-6.7	1	6	0	5.8	4.5	613	523	K		hargrave 2023-11-25 09:11:51	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-1a	HH4-1a_LP-DIR-T	HH4-1		py	139.0	-39.8	1	6	-1	5.8	4.5	613	523	K		hargrave 2023-11-25 09:11:51	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-1a		HH4-1																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-2a	HH4-2a_LP-DIR-T	HH4-2		py	82.1	-4.4	1	6	100	29.1	9.7	593	473	K		hargrave 2023-11-25 09:13:07	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-2a	HH4-2a_LP-DIR-T	HH4-2		py	82.1	-4.4	1	6	0	29.1	9.7	593	473	K		hargrave 2023-11-25 09:13:07	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-2a		HH4-2																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-2a	HH4-2a_LP-DIR-T	HH4-2		py	155.4	-40.9	1	6	-1	29.1	9.7	593	473	K		hargrave 2023-11-25 09:13:07	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-3a	HH4-3a_LP-DIR-T	HH4-3		lt	224.9	31.0	1	7	-1	15.7	21.2	593	423	K		hargrave 2023-11-13 16:40:30	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-3a	HH4-3a_LP-DIR-T	HH4-3		lt	199.7	52.6	1	7	0	15.7	21.2	593	423	K		hargrave 2023-11-13 16:40:30	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-3a	HH4-3a_LP-DIR-T	HH4-3		lt	199.7	52.6	1	7	100	15.7	21.2	593	423	K		hargrave 2023-11-13 16:40:30	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-3a		HH4-3																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-4a	HH4-4a_LP-DIR-T	HH4-4		lt	205.4	-12.6	1	5	-1	16.8	6.3	573	473	K		hargrave 2023-11-13 16:41:59	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-4a	HH4-4a_LP-DIR-T	HH4-4		lt	189.0	44.2	1	5	0	16.8	6.3	573	473	K		hargrave 2023-11-13 16:41:59	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-4a	HH4-4a_LP-DIR-T	HH4-4		lt	189.0	44.2	1	5	100	16.8	6.3	573	473	K		hargrave 2023-11-13 16:41:59	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-4a		HH4-4																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-5a	HH4-5a_LP-DIR-T	HH4-5		lt	260.6	46.6	1	6	-1	29.6	12.2	593	473	K		hargrave 2023-11-13 16:43:23	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-5a	HH4-5a_LP-DIR-T	HH4-5		lt	233.1	27.4	1	6	0	29.6	12.2	593	473	K		hargrave 2023-11-13 16:43:23	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
